018;288.9707;440.7129;6210
019;294.9707;441.9069;6110
020;289.0286;448.4057;6190
021;293.1974;444.5322;6150
022;288.2961;452.4082;6160
023;289.7647;450.0931;6180
024;289.6474;449.3437;6150
025;291.0737;446.6539;6180
026;291.118;445.2172;6190
027;290.912;446.5298;6120
028;291.5443;446.0955;6100
029;291.5443;447.5322;6000
030;298.4413;445.5322;6130
031;295.2961;452.2196;6160
032;296.603;450.1575;6040
033;298.3383;449.7184;6000
034;298.0737;449.3437;6040
035;297.1767;449.4678;6020
036;295.0737;451.969;6020
037;295.2961;449.3437;5990
038;293.4857;449.7184;6020
039;294.221;449.5943;6030
040;293.6474;449.6563;5990
041;292.706;449.0931;5940
042;292.3662;450.2816;6020
043;293.0737;448.0931;5970
044;292.1767;448.7804;5940
045;293.3247;446.7184;5930
046;293.1767;447.8449;5950
047;293.118;446.969;5900
048;292.1767;449.7184;5890
049;291.5443;448.7184;5800
050;292.3383;449.3437;5840
051;290.4413;448.4057;5830
052;289.809;446.4057;5870
053;288.603;448.3437;5830
054;288.5637;445.3437;5830
055;288.1974;446.4057;5810
056;288.3383;444.969;5880
057;288.912;444.4082;5900
058;289.3948;444.5322;5850
059;288.5443;445.2816;5880
060;288.3383;444.5322;5830
061;288.2797;443.7184;5860
062;286.7647;439.3358;5870
063;292.5443;437.91;5820
064;290.8598;442.3437;5870
065;291.706;444.0931;5860
066;295.8677;447.4678;5850
067;299.1767;445.7184;5790
068;299.4649;447.1551;5820
069;298.8312;447.969;5860
070;301.0737;449.7184;5860
071;299.4413;450.4678;5880
072;299.9707;450.031;5890
073;300.706;449.9045;5880
074;300.8677;452.3437;5800
075;301.0737;451.2196;5820
076;300.2353;450.8425;5810
077;300.7647;451.3412;5820
078;299.9707;452.969;5860
079;299.1974;452.5943;5900
080;298.6474;453.4057;5860
081;297.2675;452.031;5950
082;294.9299;450.0955;5930
083;294.8677;447.7828;5900
084;294.7039;450.2196;5870
085;294.603;448.9069;5910
086;294.9707;447.6563;5850
087;293.6445;449.587;5900
088;293.9299;447.5943;5910
089;294.1974;447.2816;5920
090;294.7647;447.4702;5920
091;296.0286;444.0931;5880
092;295.809;444.5298;5830
093;293.5637;447.2196;5900
094;294.0987;447.0931;5870
095;294.5637;443.969;5880
096;293.5637;443.9069;5860
097;293.4413;443.7828;5870
098;294.1974;444.4057;5830
