105;(215.57940000000002, 231.8139, 42.945108362461475)
106;(214.7661, 232.88690000000003, 42.65045924848232)
107;(216.45420000000001, 230.3102, 42.576796969987534)
108;(217.2618, 226.1673, 42.65045924848232)
109;(217.5236, 225.24450000000002, 42.20848557751359)
110;(217.2618, 224.2439, 43.16609519794584)
111;(218.5236, 222.2439, 42.42947241299796)
112;(218.40839999999997, 223.3972, 42.7977838054719)
113;(218.09660000000002, 219.885, 42.35581013450317)
114;(218.18810000000002, 218.8084, 42.576796969987534)
115;(217.87630000000001, 217.73180000000002, 42.42947241299796)
116;(219.0322, 216.8084, 42.282147856008386)
117;(218.94420000000002, 215.73180000000002, 42.50313469149275)
118;(218.61020000000002, 215.0906, 42.20848557751359)
119;(218.61020000000002, 215.885, 42.35581013450317)
120;(221.0322, 212.6028, 42.134823299018805)
121;(220.7203, 210.9617, 41.103551400091774)
122;(219.7661, 208.6794, 41.17721367858656)
123;(219.5, 208.8084, 41.69284962805008)
124;(219.61020000000002, 208.6794, 41.84017418503965)
125;(220.18810000000002, 208.885, 41.69284962805008)
126;(219.897, 209.6794, 41.61918734955529)
127;(220.61020000000002, 208.115, 41.5455250710605)
128;(220.15879999999999, 207.6028, 41.5455250710605)
129;(220.31760000000003, 206.2439, 41.5455250710605)
130;(219.87630000000001, 205.82119999999998, 41.5455250710605)
131;(220.0322, 206.52620000000002, 42.282147856008386)
132;(220.07799999999997, 205.4495, 41.766511906544864)
133;(219.65589999999997, 205.0906, 41.69284962805008)
134;(219.61020000000002, 204.37290000000002, 41.69284962805008)
135;(219.14229999999998, 204.39049999999997, 41.69284962805008)
136;(218.61020000000002, 207.0383, 41.69284962805008)
137;(219.34410000000003, 203.2518, 41.84017418503965)
138;(219.20600000000002, 203.1058, 41.766511906544864)
139;(218.78539999999998, 202.4635, 42.20848557751359)
140;(218.34410000000003, 201.82119999999998, 41.913836463534444)
141;(218.5236, 205.6028, 41.913836463534444)
142;(218.56439999999998, 204.1058, 42.06116102052402)
143;(217.68239999999997, 201.88690000000003, 41.69284962805008)
144;(216.2618, 202.11309999999997, 42.134823299018805)
145;(217.87630000000001, 197.0328, 42.134823299018805)
146;(216.92200000000003, 200.39049999999997, 42.06116102052402)
147;(217.0322, 199.39049999999997, 42.20848557751359)
148;(216.14229999999998, 200.17880000000002, 42.20848557751359)
149;(215.18810000000002, 200.82119999999998, 42.87144608396669)
150;(215.87630000000001, 196.7482, 42.282147856008386)
151;(215.56439999999998, 197.8942, 42.282147856008386)
152;(214.92200000000003, 198.88690000000003, 41.69284962805008)
153;(215.0322, 200.39780000000002, 42.134823299018805)
155;(214.7382, 201.32479999999998, 42.282147856008386)
156;(215.15879999999999, 198.8942, 42.06116102052402)
157;(215.84120000000001, 195.82119999999998, 42.35581013450317)
158;(215.57940000000002, 195.88690000000003, 42.50313469149275)
159;(215.29829999999998, 194.8139, 42.576796969987534)
160;(215.42059999999998, 194.5292, 42.724121526977115)
161;(214.87630000000001, 191.17149999999998, 42.7977838054719)
162;(214.7661, 190.6794, 42.87144608396669)
163;(214.45420000000001, 190.6028, 42.945108362461475)
164;(214.61020000000002, 191.885, 42.724121526977115)
165;(214.87630000000001, 193.3206, 42.7977838054719)
166;(215.56439999999998, 190.1673, 42.87144608396669)
167;(215.34410000000003, 190.52620000000002, 42.945108362461475)
168;(214.9678, 188.6794, 43.01877064095626)
169;(214.7203, 189.3206, 43.09243291945105)
170;(215.57940000000002, 184.3206, 43.31341975493542)
171;(215.61020000000002, 184.1916, 42.87144608396669)
172;(215.65589999999997, 184.47379999999998, 42.945108362461475)
173;(215.81189999999998, 184.0383, 43.09243291945105)
174;(216.07799999999997, 182.3972, 43.01877064095626)
175;(216.0, 183.9094, 42.87144608396669)
176;(216.42059999999998, 182.1916, 43.01877064095626)
177;(215.84120000000001, 181.0383, 42.945108362461475)
178;(216.0322, 181.6028, 43.23975747644063)
179;(216.05579999999998, 181.52620000000002, 43.16609519794584)
180;(216.65589999999997, 181.9617, 43.09243291945105)
181;(215.7661, 180.8327, 43.09243291945105)
182;(216.54579999999999, 181.9094, 43.60806886891457)
183;(215.0322, 182.1916, 43.387082033430204)
184;(215.18810000000002, 181.3972, 43.09243291945105)
185;(215.57940000000002, 182.3206, 43.31341975493542)
186;(214.92200000000003, 181.115, 42.945108362461475)
